Number,Ticker,Current Close,Technical Indicator,Note
1,AAAP,31.49,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.14% - moving average convergence divergence  -- stock is down -18% the last 3 months
2,AAAP,31.49,,Relative Stregnth Index:  86 -  Stochastic Oscillator:  78 -- stock is down -18% the last 3 months
1,AAU,1.02,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  50 -- stock is down -2% the last week
2,AAU,1.02,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -2% the last week
1,AAXJ,58.80,,Relative Stregnth Index:  83 -  Stochastic Oscillator:  98 -- stock is down -2% the last 3 months
2,AAXJ,58.80,Simple Average,50 / 200 day cross within 0.09% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% the last 3 months
1,AB,23.30,,Relative Stregnth Index:  42 -  Stochastic Oscillator:  21 -- stock is down -1% the last month
2,AB,23.30,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -1% the last month
1,ABC,83.62,,Relative Stregnth Index:  47 -  Stochastic Oscillator:  81 -- stock is down -1% the last week
2,ABC,83.62,Simple Average,50 / 200 day cross within 0.81% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last week
1,ABCD,5.14,,Relative Stregnth Index:  58 -  Stochastic Oscillator:  65 -- stock is down -1% for the day
2,ABCD,5.14,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% for the day
1,ACAT,18.51,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  5 -- stock is down -1% for the day
2,ACAT,18.51,Simple Average,50 / 200 day cross within 0.19% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,ACC,48.31,,Relative Stregnth Index:  33 -  Stochastic Oscillator:  99 -- stock is down -6% the last 3 months
2,ACC,48.31,Simple Average,50 / 200 day cross within 0.89% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -6% the last 3 months
1,ACNB,29.85,,Relative Stregnth Index:  37 -  Stochastic Oscillator:  17 -- stock is down -4% the last month
2,ACNB,29.85,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 1.00% -- stock is down -4% the last month
1,ACST,1.29,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  47 -- stock is down -4% for the day
2,ACST,1.29,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.76% - moving average convergence divergence  -- stock is down -4% for the day
1,ADC,46.33,,Relative Stregnth Index:  49 -  Stochastic Oscillator:  72 -- stock is down -3% the last 3 months
2,ADC,46.33,Simple Average,50 / 200 day cross within 0.64% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% the last 3 months
1,ADGE,0.36,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  100 -- stock is down -7% the last month
2,ADGE,0.36,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -7% the last month
1,ADRU,19.64,,Relative Stregnth Index:  51 -  Stochastic Oscillator:  75 -- stock is down -1% for the day
2,ADRU,19.64,Simple Average,50 / 200 day cross within 0.89% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% for the day
1,AER,44.13,,Relative Stregnth Index:  54 -  Stochastic Oscillator:  21 -- stock is down 0% for the day
2,AER,44.13,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.58% - moving average convergence divergence  -- stock is down 0% for the day
1,AFB,13.57,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  53 -- stock is down -5% the last 3 months
2,AFB,13.57,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -5% the last 3 months
1,AFK,21.07,Simple Average,50 / 200 day cross within 0.95% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% for the day
2,AFK,21.07,,Relative Stregnth Index:  59 -  Stochastic Oscillator:  60 -- stock is down -2% for the day
1,AFL,70.35,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  27 -- stock is down 0% for the day
2,AFL,70.35,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.36% - moving average convergence divergence  -- stock is down 0% for the day
1,AFTY,13.85,,Relative Stregnth Index:  64 -  Stochastic Oscillator:  98 -- stock is down -1% the last month
2,AFTY,13.85,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -1% the last month
1,AGD,9.29,,Relative Stregnth Index:  61 -  Stochastic Oscillator:  50 -- stock is down -1% for the day
2,AGD,9.29,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -1% for the day
1,AGII,64.35,,Relative Stregnth Index:  43 -  Stochastic Oscillator:  42 -- stock is down -2% for the day
2,AGII,64.35,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.36% - moving average convergence divergence  -- stock is down -2% for the day
1,AGRO,11.39,,Relative Stregnth Index:  67 -  Stochastic Oscillator:  99 -- stock is down -3% for the day
2,AGRO,11.39,Simple Average,50 / 200 day cross within 0.75% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -3% for the day
1,AHPI,2.09,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
2,AHPI,2.09,,Relative Stregnth Index:  45 -  Stochastic Oscillator:  13 -- stock is down -2% for the day
1,AIN,47.50,,Relative Stregnth Index:  55 -  Stochastic Oscillator:  57 -- stock is down -3% for the day
2,AIN,47.50,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.11% - moving average convergence divergence  -- stock is down -3% for the day
1,AKP,13.57,,Relative Stregnth Index:  60 -  Stochastic Oscillator:  78 -- stock is down -10% the last 3 months
2,AKP,13.57,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -10% the last 3 months
1,AL,36.48,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.28% - moving average convergence divergence  -- stock is down -1% for the day
2,AL,36.48,,Relative Stregnth Index:  57 -  Stochastic Oscillator:  40 -- stock is down -1% for the day
1,ALDX,5.45,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -4% for the day
2,ALDX,5.45,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  78 -- stock is down -4% for the day
1,ALE,64.37,,Relative Stregnth Index:  55 -  Stochastic Oscillator:  17 -- stock is down -1% for the day
2,ALE,64.37,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.16% - moving average convergence divergence  -- stock is down -1% for the day
1,ALLE,65.84,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.08% - moving average convergence divergence  -- stock is down -3% the last 3 months
2,ALLE,65.84,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  36 -- stock is down -3% the last 3 months
1,ALV,113.88,,Relative Stregnth Index:  52 -  Stochastic Oscillator:  19 -- stock is down -2% for the day
2,ALV,113.88,Simple Average,50 / 200 day cross within 0.36% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -2% for the day
1,AMRN,2.87,,Relative Stregnth Index:  32 -  Stochastic Oscillator:  6 -- stock is down -2% for the day
2,AMRN,2.87,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
1,AMU,20.79,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence within 0.00% -- stock is down -2% for the day
2,AMU,20.79,,Relative Stregnth Index:  61 -  Stochastic Oscillator:  64 -- stock is down -2% for the day
1,AMZA,10.92,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.00% - moving average convergence divergence  -- stock is down -2% for the day
2,AMZA,10.92,,Relative Stregnth Index:  50 -  Stochastic Oscillator:  4 -- stock is down -2% for the day
1,ANW,10.60,Simple Average,50 / 200 day cross  - 5 / 10 / 20 day triple cross  - 13 / 48 day cross within 0.28% - moving average convergence divergence  -- stock is down -4% for the day
2,ANW,10.60,,Relative Stregnth Index:  53 -  Stochastic Oscillator:  85 -- stock is down -4% for the day
1,AOK,32.70,Simple Average,50 / 200 day cross within 0.34% - 5 / 10 / 20 day triple cross  - 13 / 48 day cross  - moving average convergence divergence  -- stock is down -1% the last 3 months
2,AOK,32.70,,Relative Stregnth Index:  48 -  Stochastic Oscillator:  66 -- stock is down -1% the last 3 months
1,AOS,48.45,,Relative Stregnth Index:  56 -  Stochastic Oscillator:  54 -- stock is down -1% for the day
